# time correlation fidelity
1.094188376753506908e+01 -2.169740241124090141e-01 2.724037511838976050e-03
1.098196392785571085e+01 -1.895202817910937865e-01 1.701258182558876633e-03
1.102204408817635262e+01 -1.625251387190418950e-01 1.015589442422231130e-03
1.106212424849699438e+01 -1.360689201971920503e-01 5.741418838960080529e-04
1.110220440881763437e+01 -1.102314545480106156e-01 3.033472550878078453e-04
1.114228456913827614e+01 -8.509149641029642441e-02 1.468566847524937797e-04
1.118236472945891791e+01 -6.072654368244286699e-02 6.309896305402056189e-05
1.122244488977955790e+01 -3.721260934001950627e-02 2.272042932625334676e-05
1.126252505010019966e+01 -1.462400233014679585e-02 6.070140221563646023e-06
1.130260521042084143e+01 6.967186953015010870e-03 8.623019548996342025e-07
1.134268537074148320e+01 2.749140575640153863e-02 1.082828017732661154e-07
1.138276553106212319e+01 4.688182102724155337e-02 3.828335372946783817e-07
1.142284569138276495e+01 6.507457498951037256e-02 4.476347458164574923e-07
1.146292585170340672e+01 8.200916759507104192e-02 2.247388731430297725e-07
1.150300601202404849e+01 9.762888562950108873e-02 9.053136865559314157e-08
1.154308617234468848e+01 1.118809167558717649e-01 4.435102256212123765e-07
1.158316633266533024e+01 1.247165947660373170e-01 1.488768994053003100e-06
1.162324649298597201e+01 1.360916558821564926e-01 3.180079928009250747e-06
1.166332665330661200e+01 1.459666700039647380e-01 5.262936108977892073e-06
1.170340681362725377e+01 1.543070994721362221e-01 7.368805129167527809e-06
1.174348697394789554e+01 1.610834800680162326e-01 9.121774583276025461e-06
1.178356713426853730e+01 1.662715645811641274e-01 1.022986887041629216e-05
1.182364729458917729e+01 1.698526535119376235e-01 1.054391739638142991e-05
1.186372745490981906e+01 1.718136067448935989e-01 1.007898121238820664e-05
1.190380761523046083e+01 1.721469180265562948e-01 9.000407183104928486e-06
1.194388777555110259e+01 1.708507590696998202e-01 7.582477406605992172e-06
1.198396793587174258e+01 1.679291384571052204e-01 6.150368547161209804e-06
1.202404809619238435e+01 1.633918613403653464e-01 5.018929594642431206e-06
1.206412825651302612e+01 1.572544779797488412e-01 4.438371612364190791e-06
1.210420841683366611e+01 1.495382339909551439e-01 4.554900782075434936e-06
1.214428857715430787e+01 1.402700402086617393e-01 5.391398529039723960e-06
1.218436873747494964e+01 1.294823548533123314e-01 6.849426666295527227e-06
1.222444889779559141e+01 1.172130173892307614e-01 8.729781007371206335e-06
1.226452905811623140e+01 1.035050978836010160e-01 1.076709310302098172e-05
1.230460921843687316e+01 8.840672569228878730e-02 1.267244435871837814e-05
1.234468937875751493e+01 7.197084654087435029e-02 1.417699639118657012e-05
1.238476953907815670e+01 5.425497925593884829e-02 1.506991640462616500e-05
1.242484969939879669e+01 3.532096911037482106e-02 1.522644733558389019e-05
1.246492985971943845e+01 1.523473426353653959e-02 1.462283046910523906e-05
1.250501002004008022e+01 -5.934115401517781919e-03 1.333673284874918145e-05
1.254509018036072021e+01 -2.811256755287436931e-02 1.153444749959584415e-05
1.258517034068136198e+01 -5.122452166936031920e-02 9.447654628375557823e-06
1.262525050100200374e+01 -7.519107825456602945e-02 7.343312579423737186e-06
1.266533066132264551e+01 -9.993101945596767621e-02 5.490676393682651832e-06
1.270541082164328550e+01 -1.253611333315792498e-01 4.130337573160360174e-06
1.274549098196392727e+01 -1.513965464303786979e-01 3.448493348940403619e-06
1.278557114228456904e+01 -1.779510216969683312e-01 3.559010278913752833e-06
1.282565130260520903e+01 -2.049374537806329943e-01 4.494864193915488423e-06
1.286573146292585079e+01 -2.322682397279942634e-01 6.209166446435907115e-06
1.290581162324649256e+01 -2.598555692879011558e-01 8.584538862352059373e-06
1.294589178356713433e+01 -2.876117200444928690e-01 1.144905062268190051e-05
1.298597194388777432e+01 -3.154494657114830236e-01 1.459650003064570617e-05
1.302605210420841608e+01 -3.432825104667256433e-01 1.780815580928087202e-05
1.306613226452905785e+01 -3.710256883249613558e-01 2.087325695264590945e-05
1.310621242484969962e+01 -3.985952274177458898e-01 2.360657624219408856e-05
1.314629258517033961e+01 -4.259090313301116537e-01 2.586149518501780576e-05
1.318637274549098137e+01 -4.528871354119068382e-01 2.753764029423849509e-05
